'BENIDORM CHESS OPEN “A” (SUPRA 2000)'||||||||||||||||
'Benidorm, Alicante, Spain, 2022-12-03 - 2022-12-11'||||||||||||||||
||||||||||||||||
'Clasificación   '||||||||||||||||
'Pos.'|'Torneo'|'Ran.'|'Tít.'|'Sex.'|'Nombre'|'Fed.'|'Pts.'|'DirE'|'APRO'|'BucM'|'ARO.'|'Mwns'|'MBlk'|'FIDE'|'Nac.'|'Origen/Club'
'32'|'A'|'22'||'m'|'Arjun C Krishnamachari'|'IND'|'4,5'|'0.0'|'2196.3'|'31.5'|'2105.0'|'3'|'5'|'2241'|'0'|''|
'33'|'A'|'38'||'m'|'Rodriguez Melendez, Juan Humbert'|'PER'|'4,5'|'0.0'|'2120.9'|'25.5'|'2093.4'|'2'|'5'|'2149'|'2168'|'Madrid'|
'34'|'A'|'8'|'GM'|'m'|'Plaskett, H James'|'ENG'|'4,5'|'0.0'|'2120.1'|'26.5'|'2079.2'|'4'|'5'|'2365'|'2368'|'Comunidad Valenciana'|
'35'|'A'|'44'||'m'|'Sanroman Costas, Mauro'|'ESP'|'4,5'|'0.0'|'2120.0'|'29.0'|'2152.0'|'3'|'5'|'2123'|'2130'|'Galicia'|
'36'|'A'|'20'|'FM'|'m'|'Cabezas Ayala, Ivan'|'ESP'|'4,5'|'0.0'|'2105.2'|'26.0'|'2044.8'|'2'|'4'|'2259'|'2301'|'Extremadura'|
'37'|'A'|'28'|'WIM'|'f'|'Goossens, Hanne'|'BEL'|'4,0'|'0.0'|'2231.4'|'34.0'|'2209.3'|'3'|'5'|'2204'|'0'|''|
'38'|'A'|'48'|'CM'|'m'|'Lohia, Sohum'|'ENG'|'4,0'|'0.0'|'2230.3'|'35.5'|'2248.7'|'2'|'4'|'2096'|'0'|''|
'39'|'A'|'47'||'m'|'Panjer, Sidney'|'GER'|'4,0'|'0.0'|'2211.3'|'34.5'|'2245.9'|'2'|'4'|'2100'|'0'|''|
'40'|'A'|'3'|'IM'|'m'|'Docx, Stefan'|'BEL'|'4,0'|'0.0'|'2198.0'|'33.5'|'2153.5'|'4'|'4'|'2448'|'0'|''|
'41'|'A'|'40'||'m'|'Roe, Simon J'|'ENG'|'4,0'|'0.0'|'2150.2'|'30.5'|'2197.8'|'4'|'5'|'2146'|'0'|''|
'42'|'A'|'65'||'m'|'Clemente Llamero, Roberto'|'ESP'|'4,0'|'0.0'|'2143.9'|'32.0'|'2230.3'|'3'|'4'|'1953'|'2007'|'FEDC - Castilla L'|
'43'|'A'|'42'||'m'|'Rodriguez Garcia, Manuel Francis'|'ESP'|'4,0'|'0.0'|'2085.3'|'26.0'|'2128.3'|'3'|'5'|'2135'|'2152'|'Extremadura'|
'44'|'A'|'41'|'FM'|'m'|'Garcia Callejo, Jesus'|'ESP'|'4,0'|'0.0'|'2073.9'|'25.5'|'2130.2'|'3'|'5'|'2138'|'2171'|'Madrid'|
'45'|'A'|'50'||'m'|'Horcajada Reales, Guillermo'|'ESP'|'4,0'|'0.0'|'2056.9'|'25.0'|'2150.4'|'3'|'4'|'2084'|'2116'|'Madrid'|
'46'|'A'|'64'||'m'|'Hiren K G'|'IND'|'3,5'|'0.0'|'2175.0'|'32.5'|'2231.0'|'3'|'5'|'1965'|'0'|''|
'47'|'A'|'51'||'m'|'Achuthan, Dylan'|'NED'|'3,5'|'0.0'|'2135.2'|'31.0'|'2180.8'|'2'|'4'|'2081'|'0'|''|
'48'|'A'|'45'||'m'|'Kocak, Ediz'|'GER'|'3,5'|'0.0'|'2089.6'|'27.5'|'2183.0'|'3'|'5'|'2115'|'0'|''|
'49'|'A'|'54'||'m'|'Gil Lopez, Alejandro'|'ESP'|'3,5'|'0.0'|'2081.4'|'29.5'|'2153.9'|'3'|'5'|'2041'|'2018'|'Comunidad Valenciana'|
'50'|'A'|'56'||'m'|'Palomo Teruel, Xavier'|'ESP'|'3,5'|'0.0'|'2036.9'|'24.0'|'2129.2'|'2'|'5'|'2038'|'2039'|'Cataluña'|
'51'|'A'|'6'|'IM'|'m'|'Cruz Lledo, Pablo'|'ESP'|'3,0'|'0.0'|'2236.2'|'33.5'|'2139.8'|'2'|'3'|'2404'|'2423'|'Comunidad Valenciana'|
'52'|'A'|'52'||'m'|'Minnican, Alan'|'SCO'|'3,0'|'0.0'|'2190.3'|'32.5'|'2247.1'|'1'|'5'|'2049'|'0'|''|
'53'|'A'|'49'|'FM'|'m'|'Sanchez Manzanares, Jorge Luis'|'PAN'|'3,0'|'0.0'|'2180.3'|'33.5'|'2201.7'|'2'|'4'|'2095'|'0'|''|
'54'|'A'|'66'||'m'|'O`Neill Y Daneiko, Jose Antonio'|'ESP'|'3,0'|'0.0'|'2113.7'|'30.5'|'2151.9'|'2'|'3'|'1952'|'1955'|'Comunidad Valenciana'|
'55'|'A'|'59'||'m'|'Perez Candelario, Matias'|'ESP'|'3,0'|'0.0'|'2098.6'|'29.5'|'2114.7'|'2'|'5'|'2009'|'2021'|'Extremadura'|
'56'|'A'|'60'||'m'|'Draghici Flutur, Gavril'|'ESP'|'2,5'|'0.0'|'2091.7'|'27.0'|'2113.4'|'2'|'5'|'2004'|'2033'|'FEDC - Cataluña'|
'57'|'A'|'46'||'m'|'Minana Menor, Antonio'|'ESP'|'2,5'|'0.0'|'2065.1'|'22.0'|'2100.8'|'2'|'4'|'2102'|'2094'|'Comunidad Valenciana'|
'58'|'A'|'58'||'m'|'Troffiguer, Olivier'|'FRA'|'2,5'|'0.0'|'2063.9'|'25.5'|'2141.8'|'1'|'5'|'2016'|'0'|''|
'59'|'A'|'62'||'m'|'Unciti Juan, Javier'|'ESP'|'2,5'|'0.0'|'2060.3'|'24.5'|'2141.4'|'2'|'4'|'1999'|'2028'|'Madrid'|
'60'|'A'|'10'|'WGM'|'f'|'Nandhidhaa, P V'|'IND'|'2,5'|'0.0'|'0.0'|'34.0'|'2153.8'|'1'|'3'|'2358'|'0'|''|
'61'|'A'|'32'||'m'|'Cherniack, Alex'|'USA'|'2,0'|'0.0'|'2103.6'|'24.5'|'2054.0'|'1'|'3'|'2188'|'0'|''|
'62'|'A'|'61'||'m'|'Parramon Ros, Francesc'|'ESP'|'2,0'|'0.0'|'2090.7'|'25.0'|'2112.1'|'1'|'4'|'2003'|'2010'|'Cataluña'|
'63'|'A'|'63'||'m'|'Perez Ruiz, Santiago'|'ESP'|'2,0'|'0.0'|'2079.1'|'26.0'|'2172.6'|'1'|'4'|'1966'|'1974'|'Castilla y León'|
'64'|'A'|'11'|'FM'|'m'|'Nawin J J'|'IND'|'1,5'|'0.0'|'0.0'|'25.0'|'2070.8'|'1'|'2'|'2351'|'0'|''|
'65'|'A'|'31'|'WIM'|'f'|'Nurmanova, Alua'|'KAZ'|'0,0'|'0.0'|'0.0'|'21.0'|'0.0'|'0'|'0'|'2191'|'0'|''|
'66'|'A'|'35'||'m'|'Hushpit, Yaroslav'|'UKR'|'0,0'|'0.0'|'0.0'|'21.0'|'0.0'|'0'|'0'|'2176'|'0'|''|
||||||||||||||||
||||||||||||||||
||||||||||||||||
||||||||||||||||
'BENIDORM CHESS OPEN “A” (SUPRA 2000) - https://info64.org/benidorm-chess-open-a-supra-2000'||||||||||||||||
